CartItemId,WebCartId,ProductId,Quantity,NetValue
0a9U400000DI3eHIAT,0a6U40000013anxIAA,01t8c00000NtsZwAAJ,20.0,1268.4700000000000000000000
0a9U400000DI5ZdIAL,0a6U40000013bQfIAI,01tU4000004n5sHIAQ,2.0,334.8198000000000000000000
0a9U400000DI3O9IAL,0a6U40000013aftIAA,01t8c00000NttKHAAZ,1.0,8.7400000000000000000000
0a98c000000ZJ3HAAW,0a68c000000UG5QAAW,01t8c00000Nu33aAAB,1.0,70.5800000000000000000000
0a98c000000ZRiXAAW,0a68c000000UHXuAAO,01t8c00000O92EzAAJ,1.0,736.1500000000000000000000
0a9U4000008ktjFIAQ,0a6U4000000e3gjIAA,01t8c00000OiUu6AAF,50.0,2742.2800000000000000000000
0a9U400000A9RJNIA3,0a6U4000000tbyDIAQ,01t8c00000NtmmdAAB,1.0,38.0000000000000000000000
0a9U400000CyrCDIAZ,0a6U4000000xoyTIAQ,01tU4000003LfKzIAK,3.0,921.3600000000000000000000
0a98c0000001i1iAAA,0a68c0000001JUvAAM,01t8c00000OiTiVAAV,1.0,6.0800000000000000000000
0a9U400000CXCDBIA5,0a6U40000010M6PIAU,01t8c00000Nu1c1AAB,6.0,505.0800000000000000000000
0a9U4000003qvenIAA,0a6U4000000DwkXIAS,01t8c00000OiU1ZAAV,5.0,1734.8350000000000000000000
0a9U4000004in1AIAQ,0a6U4000000I0ZRIA0,01t8c00000OiUZ3AAN,1.0,1578.7200000000000000000000
0a9U40000069LrNIAU,0a6U4000000PWskIAG,01t8c00000Nts3LAAR,7.0,10913.9000000000000000000000
0a9U4000006cX9BIAU,0a6U4000000S1nZIAS,01t8c00000O91NPAAZ,200.0,197.8600000000000000000000
0a9U400000AKBmMIAX,0a6U4000000uRvBIAU,01t8c00000OiUzgAAF,26.0,5809.9028000000000000000000
0a9U4000004csujIAA,0a6U4000000HYi1IAG,01t8c00000NthCoAAJ,6.0,228.4000000000000000000000
0a98c0000004hjSAAQ,0a68c0000004gCCAAY,01t8c00000Nu0JbAAJ,4.0,418.1900000000000000000000
0a98c0000001SKWAA2,0a68c0000001G2eAAE,01t8c00000Nu3f0AAB,20.0,5874.2000000000000000000000
0a9U4000002KS73IAG,0a6U40000006TIfIAM,01t8c00000NtoGLAAZ,1.0,68.9600000000000000000000
0a9U400000AnHMvIAN,0a6U4000000w2MPIAY,01t8c00000OiUFPAA3,3.0,1614.3318000000000000000000
0a9U4000001nL2jIAE,0a6U40000004ovtIAA,01t8c00000Ntp7cAAB,30.0,273.5500000000000000000000
0a9U4000006uBgUIAU,0a6U4000000TmR3IAK,01t8c00000NtmopAAB,20.0,813.9200000000000000000000
0a9U4000006kjgFIAQ,0a6U4000000PeqHIAS,01t8c00000Nto8cAAB,3.0,172.3800000000000000000000
0a9U40000085Ie2IAE,0a6U4000000YdRxIAK,01t8c00000OiT65AAF,1.0,1008.0400000000000000000000
0a9U4000008ex3DIAQ,0a6U4000000bapJIAQ,01t8c00000OAL5qAAH,20.0,7977.4600000000000000000000
0a9U400000D40GUIAZ,0a6U4000000tZd3IAE,01t8c00000NtuFuAAJ,60.0,543.4800000000000000000000
0a9U4000001OPcbIAG,0a6U40000003TNFIA2,01t8c00000OiRZpAAN,3.0,1753.5000000000000000000000
0a9U40000096GOHIA2,0a6U4000000ZQE9IAO,01t8c00000Nts2nAAB,3.0,79.7000000000000000000000
0a9U4000009aKpUIAU,0a6U4000000pkdVIAQ,01t8c00000O9AjDAAV,20.0,4241.5480000000000000000000
0a9U400000BxskPIAR,0a6U4000000yjVJIAY,01t8c00000O94AUAAZ,10.0,115.4500000000000000000000
0a9U400000Cm2obIAB,0a6U40000011QmHIAU,01t8c00000NtvShAAJ,4.0,35.9580000000000000000000
0a9U4000002zRLVIA2,0a6U40000009qqbIAA,01t8c00000NtnrJAAR,1.0,123.7670000000000000000000
0a9U4000006drVeIAI,0a6U4000000S9UzIAK,01t8c00000Nu1S0AAJ,7.0,2923.5900000000000000000000
0a9U400000BUxfRIAT,0a6U4000000k8IjIAI,01t8c00000NtfGNAAZ,2.0,134.1480000000000000000000
0a9U400000AzDkAIAV,0a6U4000000wUvNIAU,01t8c00000Nu2FUAAZ,3.0,2464.8300000000000000000000
0a98c000000Z83PAAS,0a68c000000UE4aAAG,01t8c00000Ntm77AAB,5.0,374.6500000000000000000000
0a9U4000009v489IAA,0a6U4000000sRODIA2,01t8c00000Nu3f0AAB,122.0,35788.7976000000000000000000
0a9U40000046QYbIAM,0a6U4000000F3ATIA0,01t8c00000Nu4bkAAB,1.0,915.7661000000000000000000
0a9U400000A6IJ4IAN,0a6U4000000tRUDIA2,01t8c00000OiSFqAAN,80.0,3020.2900000000000000000000
0a9U400000B53dFIAR,0a6U4000000wkC9IAI,01t8c00000Nu5QRAAZ,2.0,33.9300000000000000000000
0a9U40000061wePIAQ,0a6U4000000KgO5IAK,01t8c00000NtmmqAAB,1.0,895.2321000000000000000000
0a9U4000001Hrc1IAC,0a6U400000032YLIAY,01t8c00000NtmC1AAJ,1.0,79.8300000000000000000000
0a9U4000003Wl29IAC,0a6U4000000BL4LIAW,01t8c00000O99y3AAB,3.0,961.2000000000000000000000
0a9U400000CIXBVIA5,0a6U4000000zQ8rIAE,01t8c00000O9BlIAAV,120.0,978.8640000000000000000000
0a9U4000006eiIDIAY,0a6U4000000SF2XIAW,01t8c00000Nu3FNAAZ,1.0,2680.4800000000000000000000
0a9U4000006l0qjIAA,0a6U4000000Snk9IAC,01t8c00000NtofNAAR,1.0,141.9233000000000000000000
0a9U400000CEp6zIAD,0a6U4000000zIrFIAU,01tU4000006CtlFIAS,2.0,402.9400000000000000000000
0a9U400000CTecfIAD,0a6U400000103YPIAY,01tU4000004n5KPIAY,30.0,9184.3170000000000000000000
0a9U40000086g4nIAA,0a6U4000000YfgfIAC,01t8c00000O9CkTAAV,2000.0,126256.8000000000000000000000
0a9U400000ADdlmIAD,0a6U4000000tsuDIAQ,01t8c00000O92hRAAR,1.0,46.3200000000000000000000
0a9U400000BSXvZIAX,0a6U4000000xle1IAA,01t8c00000OiToVAAV,2.0,658.3900000000000000000000
0a9U40000078tbBIAQ,0a6U4000000V7zhIAC,01tU4000004n3fBIAQ,1.0,153.4800000000000000000000
0a9U400000A7jvVIAR,0a6U4000000tWVVIA2,01t8c00000PSNFzAAP,1.0,220.0400000000000000000000
0a9U400000BBz1pIAD,0a6U4000000xEADIA2,01t8c00000NtmazAAB,10.0,763.9600000000000000000000
0a98c000000Yt2TAAS,0a68c000000UBHHAA4,01t8c00000OiSXuAAN,1.0,71.1200000000000000000000
0a9U4000006qwm1IAA,0a6U4000000TQVNIA4,01t8c00000NtnuAAAR,20.0,2085.3860000000000000000000
0a9U400000AZ4kXIAT,0a6U4000000vLyzIAE,01tU4000007212QIAQ,250.0,6751.8000000000000000000000
0a9U400000CgM6sIAF,0a6U40000010X0DIAU,01t8c00000NthLrAAJ,20.0,301.0900000000000000000000
0a9U4000006Bl1lIAC,0a6U4000000KVvhIAG,01t8c00000Nu3vnAAB,1.0,169.6500000000000000000000
0a98c0000001inJAAQ,0a68c0000001Jj2AAE,01t8c00000OiUm0AAF,22.0,538.1200000000000000000000
