AccountId,WebCartId,CartDate
001U400000Y88d9IAB,0a6U40000013anxIAA,2025-10-04T16:02:34.000Z
001U400000Y8KeRIAV,0a6U40000013bQfIAI,2025-10-04T18:49:09.000Z
001U400000Y8oDmIAJ,0a6U40000013borIAA,2025-10-04T21:09:49.000Z
001U400000FgSIjIAN,0a6U40000013b45IAA,2025-10-04T17:32:59.000Z
001U400000Y7xplIAB,0a6U40000013aftIAA,2025-10-04T15:31:18.000Z
001U400000GKhfVIAT,0a6U4000000MyjtIAC,2024-10-15T10:43:17.000Z
0018c00002omhuIAAQ,0a68c0000001FyIAAU,2023-08-09T18:39:01.000Z
0018c00002xEOCUAA4,0a68c000000UG5QAAW,2023-12-06T17:42:18.000Z
0018c00002xFIKfAAO,0a68c000000UHXuAAO,2023-12-21T20:49:30.000Z
001U400000TXT9lIAH,0a6U4000000xEIHIA2,2025-07-04T20:36:43.000Z
0018c00002nXAmFAAW,0a68c0000004ggqAAA,2023-06-28T18:46:35.000Z
001U400000OYaN1IAL,0a6U4000000e3gjIAA,2025-03-23T21:57:23.000Z
001U400000RWU57IAH,0a6U4000000u6QvIAI,2025-05-25T21:20:44.000Z
001U400000Dyv8oIAB,0a6U4000000FZn3IAG,2024-08-08T19:03:53.000Z
001U400000Q6W9jIAF,0a6U4000000tbyDIAQ,2025-05-20T21:07:52.000Z
001U400000U9o7hIAB,0a6U4000000xoyTIAQ,2025-07-18T09:14:58.000Z
0018c00002sLhAZAA0,0a68c0000001JUvAAM,2023-09-18T13:54:35.000Z
001U400000WK1XvIAL,0a6U40000010M6PIAU,2025-08-31T23:23:41.000Z
0018c00002xFZoiAAG,0a68c000000UHuKAAW,2023-12-28T18:22:15.000Z
001U400000AlOKZIA3,0a6U4000000HYtKIAW,2024-08-27T14:03:20.000Z
001U400000D8qrcIAB,0a6U4000000DwkXIAS,2024-07-24T11:45:56.000Z
001U400000F4ff4IAB,0a6U4000000I0ZRIA0,2024-08-30T13:05:28.000Z
001U400000I6e8wIAB,0a6U4000000PWskIAG,2024-11-04T15:59:05.000Z
001U400000G2oqnIAB,0a6U4000000S1nZIAS,2024-11-27T18:10:56.000Z
001U400000RfjhaIAB,0a6U4000000uRvBIAU,2025-05-28T14:10:15.000Z
0018c00002nYha2AAC,0a68c0000004gxrAAA,2023-07-04T12:08:30.000Z
001U400000B0alJIAR,0a6U4000000NlELIA0,2024-10-20T18:34:09.000Z
001U400000DSijRIAT,0a6U4000000Ea8TIAS,2024-07-30T15:07:49.000Z
001U400000EsJNRIA3,0a6U4000000HYi1IAG,2024-08-27T13:31:45.000Z
001U400000PZsf7IAD,0a6U4000000kot4IAA,2025-04-11T12:07:49.000Z
0018c00002mp4MYAAY,0a68c0000004gCCAAY,2023-06-19T18:08:51.000Z
0018c00002on0MJAAY,0a68c0000001G2eAAE,2023-08-10T17:07:35.000Z
001U4000008UzW9IAK,0a6U40000006TIfIAM,2024-05-09T13:42:54.000Z
001U400000ShjEhIAJ,0a6U4000000w2MPIAY,2025-06-17T22:49:02.000Z
001U4000007uNUGIA2,0a6U40000004ovtIAA,2024-04-11T11:01:57.000Z
0018c00002rWVXDAA4,0a68c000000x9AqAAI,2023-10-11T15:44:56.000Z
001U400000EcqyQIAR,0a6U4000000Gxc1IAC,2024-08-21T19:23:30.000Z
001U400000KA5wCIAT,0a6U4000000TmR3IAK,2024-12-11T15:46:18.000Z
0018c00002oSUqdAAG,0a68c0000001I69AAE,2023-09-01T18:44:44.000Z
001U400000GxxVuIAJ,0a6U4000000PeqHIAS,2024-11-05T17:49:18.000Z
0018c00002sI7BwAAK,0a68c000000obfcAAA,2023-09-22T19:33:43.000Z
001U400000NCPHLIA5,0a6U4000000YdRxIAK,2025-02-19T19:37:45.000Z
001U400000OLYkRIAX,0a6U4000000bapJIAQ,2025-03-20T11:07:49.000Z
001U400000FhQOdIAN,0a6U4000000tZd3IAE,2025-05-20T15:59:32.000Z
001U4000006wjcqIAA,0a6U40000003TNFIA2,2024-03-20T19:56:10.000Z
001U400000NrXFHIA3,0a6U4000000ZQE9IAO,2025-03-07T17:48:49.000Z
001U400000Q8cKiIAJ,0a6U4000000pkdVIAQ,2025-04-24T14:50:35.000Z
001U400000V9ZpsIAF,0a6U4000000yjVJIAY,2025-08-06T19:37:30.000Z
001U400000WOtR4IAL,0a6U40000011QmHIAU,2025-09-11T11:23:54.000Z
001U400000AmRYBIA3,0a6U40000009qqbIAA,2024-06-12T18:05:18.000Z
001U400000Q8dF5IAJ,0a6U4000000pjKrIAI,2025-04-24T13:59:09.000Z
001U400000JMJu1IAH,0a6U4000000S9UzIAK,2024-11-28T15:30:31.000Z
001U400000MkRiOIAV,0a6U4000000k8IjIAI,2025-04-06T09:59:44.000Z
001U400000T99VBIAZ,0a6U4000000wUvNIAU,2025-06-26T20:19:48.000Z
0018c00002xDKusAAG,0a68c000000UE4aAAG,2023-11-22T13:48:16.000Z
001U400000FA74nIAD,0a6U4000000sRODIA2,2025-05-09T18:35:10.000Z
001U400000DhTlkIAF,0a6U4000000F3ATIA0,2024-08-02T23:36:05.000Z
001U400000ExKdlIAF,0a6U4000000tRUDIA2,2025-05-19T14:16:46.000Z
001U400000XdJMUIA3,0a6U40000012mXpIAI,2025-09-25T23:16:44.000Z
001U400000KtUsGIAV,0a6U4000000VEmfIAG,2024-12-31T11:03:57.000Z
001U400000TLBslIAH,0a6U4000000wkC9IAI,2025-07-01T13:46:21.000Z
001U400000GLI5cIAH,0a6U4000000KgO5IAK,2024-09-25T01:24:00.000Z
001U4000006fgJLIAY,0a6U400000032YLIAY,2024-03-14T13:47:16.000Z
001U400000Bm0Z6IAJ,0a6U4000000BL4LIAW,2024-07-01T00:00:48.000Z
001U400000I6xQ4IAJ,0a6U4000000zQ8rIAE,2025-08-21T00:16:29.000Z
001U400000IZpgmIAD,0a6U4000000SF2XIAW,2024-11-29T02:36:20.000Z
001U400000Jn5WqIAJ,0a6U4000000Snk9IAC,2024-12-04T16:33:51.000Z
001U400000Nl8g7IAB,0a6U4000000Z8FdIAK,2025-03-05T17:02:24.000Z
001U400000VjsP6IAJ,0a6U4000000zIrFIAU,2025-08-19T02:32:56.000Z
001U400000WCQVnIAP,0a6U400000103YPIAY,2025-08-28T14:31:01.000Z
001U400000NF6MqIAL,0a6U4000000YfgfIAC,2025-02-20T16:38:25.000Z
001U400000RQx8TIAT,0a6U4000000tsuDIAQ,2025-05-23T12:06:18.000Z
001U400000U7CCNIA3,0a6U4000000xle1IAA,2025-07-17T10:11:15.000Z
0018c00002szoRMAAY,0a68c000000obwTAAQ,2023-09-27T11:34:51.000Z
0018c00002uQsqmAAC,0a68c000000UD1VAAW,2023-11-13T22:30:47.000Z
0018c00002xEMk3AAG,0a68c000000UFyeAAG,2023-12-06T12:17:23.000Z
001U400000Ko2ExIAJ,0a6U4000000V7zhIAC,2024-12-27T21:43:30.000Z
001U400000REew8IAD,0a6U4000000tWVVIA2,2025-05-20T04:04:45.000Z
001U400000GFSbdIAH,0a6U4000000KO6DIAW,2024-09-23T01:08:41.000Z
001U400000TXCRxIAP,0a6U4000000xEADIA2,2025-07-04T19:30:47.000Z
0018c00002tfPf9AAE,0a68c000000ocjaAAA,2023-10-03T16:58:18.000Z
0018c00002uQArwAAG,0a68c000000UBHHAA4,2023-10-29T18:52:18.000Z
001U400000DiW1yIAF,0a6U4000000TQVNIA4,2024-12-09T18:27:14.000Z
001U400000SDfpKIAT,0a6U4000000vLyzIAE,2025-06-07T13:54:50.000Z
001U400000W4v26IAB,0a6U4000000zgDdIAI,2025-08-26T14:01:52.000Z
001U400000WO3VhIAL,0a6U40000010X0DIAU,2025-09-02T13:50:40.000Z
001U400000GIdRbIAL,0a6U4000000KVvhIAG,2024-09-23T20:15:29.000Z
0018c00002sM0E5AAK,0a68c0000001Jj2AAE,2023-09-19T14:49:16.000Z
